,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11849,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19799453.0,19799453.0,False,,1,,,,2024-12-22T05:26:00.000Z,96183.61270904094,51284409268.55976,-46.4837,-0.58245248,-1.40693687,-6.09802932,-2.74387935,43.35786219,50.76075818,1904382919202.859,57.795,2019855866889.86,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
1,1027,Ethereum,ETH,ethereum,9712,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120455304.53520444,120455304.53520444,True,,2,,,,2024-12-22T05:26:00.000Z,3313.7881905317863,31266325892.900036,-48.6213,-0.90649204,-4.72653247,-14.95804816,-2.11760832,26.79983602,24.70990335,399163365655.6704,12.1218,399163365655.67,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
2,825,Tether USDt,USDT,tether,109588,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,139872815646.75348,143440125286.8632,True,,3,,,,2024-12-22T05:26:00.000Z,0.9992533404380699,142138705035.1482,-41.9306,-0.02032597,-0.02745472,-0.03546567,-0.15768252,-0.00210314,-0.07670913,139768378271.49673,4.2417,143333024345.75,,2024-12-22T05:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-12-22 00:27:04.546723
3,52,XRP,XRP,xrp,1485,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",100000000000.0,57252380420.0,99986807248.0,False,,4,,,,2024-12-22T05:26:00.000Z,2.1884539848949647,14245085478.325129,-45.177,-2.18593157,-5.35052131,-10.12136521,57.67296961,312.94532012,270.08124299,125294200074.87144,3.8025,218845398489.5,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
4,1839,BNB,BNB,bnb,2315,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144007700.38,144007700.38,False,,5,,,,2024-12-22T05:26:00.000Z,651.6852768676738,2075789454.6528084,-31.4686,-1.33712272,-5.01275792,-8.95121294,2.65797473,10.75836699,9.71900328,93847698093.21732,2.8481,93847698093.22,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
5,5426,Solana,SOL,solana,813,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,479353996.8859249,590652115.5121472,True,,6,,,,2024-12-22T05:26:00.000Z,179.37228131033834,5545509893.11878,-39.5112,-1.71645592,-8.89022058,-18.76856179,-31.62386621,8.75181647,22.59866867,85982819976.65717,2.6094,105946617420.19,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
6,74,Dogecoin,DOGE,dogecoin,1130,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147301796383.7052,147301796383.7052,True,,7,,,,2024-12-22T05:26:00.000Z,0.3068160086761799,6590880426.420527,-41.2696,-3.03126546,-7.15622349,-23.15597571,-22.54014175,121.96746358,184.93432106,45194549237.279785,1.3716,45194549237.28,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
7,3408,USDC,USDC,usd-coin,24067,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,42931568415.357285,42931568415.357285,False,,8,,,,2024-12-22T05:26:00.000Z,1.000028941846614,7195026415.85749,-47.4096,0.00096473,-0.00164881,0.01784274,0.02967519,0.0223247,-0.0022906,42932810934.22526,1.3029,42932810934.23,,2024-12-22T05:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-12-22 00:27:04.546723
8,2010,Cardano,ADA,cardano,1418,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season']",45000000000.0,35126169612.19378,44995107818.69111,False,,9,,,,2024-12-22T05:26:00.000Z,0.8771094500955147,1535812486.4821365,-43.7801,-2.44042919,-8.25037971,-18.2244794,-0.87306489,141.31926338,146.97545231,30809495312.51306,0.935,39469925254.3,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
9,1958,TRON,TRX,tron,1087,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season']",,86217924776.8918,86217920420.74846,True,,10,,,,2024-12-22T05:26:00.000Z,0.24211052007685605,1340172426.117125,-32.2232,-1.45133636,-3.11504079,-14.07319087,20.84600199,51.13326237,59.70555855,20874266607.680527,0.6335,20874265553.01,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
